userID,itemID,age,sex,city,country,time,daytype,season,location,weather,social,endEmo,dominantEmo,mood,physical,decision,interaction,director,movieCountry,movieLanguage,movieYear,genre1,genre2,genre3,actor1,actor2,actor3,budget,rating
75,205,63,Female,20,UK,Evening,Weekend,Autumn,Home,Cloudy,Alone,Neutral,Neutral,Neutral,Healthy,Decision,First,286,37,9,2006,1,3,22,1260,1832,879,-1,3
75,206,63,Female,20,UK,Morning,Weekend,Autumn,Home,Sunny,Alone,Happy,Surprised,Positive,Healthy,Decision,First,62,36,9,2010,10,17,8,457,1278,1112,-1,5
75,207,63,Female,20,UK,Evening,Weekend,Autumn,Home,Sunny,Alone,Happy,Scared,Positive,Healthy,Decision,Nth,526,37,9,1992,18,10,21,1098,1949,643,25000000,5
75,208,63,Female,20,UK,Evening,Weekend,Autumn,Home,Cloudy,Alone,Happy,Angry,Positive,Healthy,Decision,First,113,37,9,2006,7,18,-1,1042,1225,382,-1,3
75,209,63,Female,20,UK,Night,Weekend,Autumn,Home,Cloudy,Alone,Happy,Happy,Positive,Healthy,Decision,Nth,196,37,9,2000,1,7,8,1688,1343,176,45000000,4
75,183,63,Female,20,UK,Morning,Weekend,Autumn,Home,Cloudy,Alone,Sad,Surprised,Positive,Healthy,Decision,First,-1,36,9,2009,8,17,-1,457,534,155,-1,5
75,3546,63,Female,20,UK,Evening,Weekend,Autumn,Home,Sunny,Alone,Sad,Scared,Positive,Healthy,Decision,First,52,37,9,2003,10,18,22,1008,1439,1593,79000000,5
75,3242,63,Female,20,UK,Afternoon,Weekend,Autumn,Home,Sunny,Alone,Happy,Happy,Positive,Healthy,Decision,First,431,37,9,1997,7,18,-1,608,1855,754,-1,4
75,3685,63,Female,20,UK,Morning,Weekend,Autumn,Home,Snowy,Alone,Happy,Surprised,Positive,Healthy,Decision,First,44,37,9,2010,8,10,17,1017,1430,1229,-1,5
75,3686,63,Female,20,UK,Evening,Weekend,Autumn,Home,Sunny,Alone,Happy,Happy,Positive,Healthy,Decision,First,296,37,9,1990,1,7,8,131,1518,1485,15000000,4
75,3811,63,Female,20,UK,Evening,Weekend,Winter,Home,Cloudy,Alone,Happy,Angry,Positive,Healthy,Decision,First,261,37,9,2000,6,10,-1,1620,409,315,32000000,5
75,3812,63,Female,20,UK,Evening,Weekend,Winter,Home,Cloudy,Alone,Disgusted,Scared,Positive,Healthy,Decision,First,530,7,9,2007,8,10,21,1542,667,1252,20000000,5
75,3813,63,Female,20,UK,Evening,Weekend,Winter,Home,Sunny,Alone,Happy,Happy,Positive,Healthy,Decision,Nth,598,37,9,2004,7,10,18,1604,896,1800,50000000,5
75,3620,63,Female,20,UK,Morning,Weekend,Winter,Home,Cloudy,Alone,Happy,Scared,Positive,Healthy,Decision,First,740,37,9,2001,1,8,-1,660,223,1297,85000000,5
75,3814,63,Female,20,UK,Evening,Weekend,Winter,Home,Cloudy,Alone,Neutral,Angry,Positive,Healthy,Decision,Nth,671,37,9,2001,1,10,21,1630,818,1265,72000000,5
75,3252,63,Female,20,UK,Afternoon,Weekend,Winter,Home,Cloudy,Alone,Happy,Happy,Positive,Healthy,Decision,First,256,37,9,1994,3,10,11,1077,318,1004,-1,4
75,3815,63,Female,20,UK,Afternoon,Working,Winter,Home,Cloudy,Alone,Sad,Angry,Positive,Healthy,Decision,First,285,37,9,2002,10,-1,-1,1625,1054,410,-1,4
75,2086,63,Female,20,UK,Evening,Holiday,Winter,Home,Snowy,Alone,Happy,Neutral,Positive,Healthy,Decision,First,368,37,9,1996,1,8,10,1795,1074,206,45000000,4
75,3817,63,Female,20,UK,Evening,Weekend,Winter,Home,Snowy,Alone,Happy,Surprised,Positive,Healthy,Decision,First,643,37,9,2006,8,21,-1,710,1500,1935,50000000,5
75,3554,63,Female,20,UK,Evening,Holiday,Winter,Home,Snowy,Alone,Surprised,Sad,Positive,Healthy,Decision,First,772,37,9,2009,10,-1,-1,391,1022,1302,7000000,5
75,3818,63,Female,20,UK,Afternoon,Holiday,Winter,Home,Snowy,Alone,Happy,Happy,Positive,Healthy,Decision,First,488,37,9,2005,1,3,23,127,298,1652,75000000,4
75,3819,63,Female,20,UK,Afternoon,Working,Winter,Home,Cloudy,Alone,Sad,Sad,Positive,Healthy,Decision,First,730,37,9,1992,10,11,-1,1222,1911,1350,-1,4
75,3984,63,Female,20,UK,Evening,Weekend,Spring,Home,Sunny,Alone,Happy,Surprised,Positive,Healthy,Decision,First,454,37,9,2007,1,8,21,251,1037,1857,110000000,5
