42,17,28,Male,20,UK,Evening,Working,Autumn,Friend,Cloudy,Partner,Happy,Happy,Negative,Healthy,Given,First,408,36,9,2010,1,7,8,190,558,1657,8000000,4
42,50,28,Male,20,UK,Night,Weekend,Autumn,Home,Cloudy,Partner,Neutral,Happy,Neutral,Healthy,Decision,First,424,26,21,1984,3,7,19,1468,162,1901,-1,3
42,51,28,Male,20,UK,Night,Working,Autumn,Home,Cloudy,Alone,Happy,Angry,Negative,Healthy,Decision,Nth,313,37,9,2005,1,19,21,749,1416,1778,54000000,4
42,52,28,Male,20,UK,Evening,Weekend,Summer,Home,Sunny,Partner,Neutral,Neutral,Positive,Healthy,Decision,First,416,37,9,2005,1,3,19,1420,676,28,39000000,1
42,53,28,Male,20,UK,Evening,Working,Summer,Friend,Sunny,Partner,Happy,Surprised,Positive,Healthy,Given,First,527,37,9,2010,7,10,18,1344,1545,870,18000000,4
42,54,28,Male,20,UK,Evening,Weekend,Summer,Friend,Sunny,Partner,Sad,Surprised,Neutral,Healthy,Decision,First,560,11,9,2009,1,3,-1,1233,835,644,10000000,5
42,55,28,Male,20,UK,Afternoon,Working,Summer,Friend,Sunny,Partner,Happy,Happy,Positive,Healthy,Decision,First,434,37,9,2009,7,-1,-1,863,1099,1785,-1,3
42,39,28,Male,20,UK,Night,Weekend,Summer,Friend,Sunny,Partner,Neutral,Surprised,Neutral,Healthy,Decision,First,756,36,9,2009,3,12,17,719,368,1914,18000000,4
42,58,28,Male,20,UK,Evening,Holiday,Summer,Friend,Sunny,Partner,Happy,Neutral,Positive,Healthy,Given,First,355,36,9,2010,10,14,21,175,121,558,150000000,3
42,57,28,Male,20,UK,Evening,Holiday,Summer,Friend,Sunny,Partner,Happy,Happy,Positive,Healthy,Decision,Nth,588,37,9,1997,10,-1,-1,1267,257,1022,15000000,5
42,56,28,Male,20,UK,Night,Working,Summer,Friend,Sunny,Partner,Neutral,Disgusted,Positive,Healthy,Decision,First,313,37,9,2009,1,8,10,1564,1414,170,40000000,1
42,34,28,Male,20,UK,Evening,Working,Summer,Friend,Rainy,Partner,Happy,Happy,Neutral,Healthy,Decision,Nth,786,37,9,1991,1,7,8,251,416,429,-1,5
42,63,28,Male,20,UK,Evening,Holiday,Summer,Friend,Sunny,Partner,Sad,Happy,Neutral,Healthy,Decision,First,321,37,9,2007,9,15,-1,600,1815,969,-1,4
42,18,28,Male,20,UK,Evening,Weekend,Summer,Friend,Sunny,Partner,Happy,Happy,Positive,Healthy,Given,First,750,37,9,2010,1,3,21,1803,251,1376,82000000,4
42,62,28,Male,20,UK,Evening,Holiday,Summer,Friend,Sunny,Partner,Neutral,Neutral,Positive,Healthy,Decision,First,19,37,9,2010,1,3,10,476,645,1380,80000000,3
42,61,28,Male,20,UK,Night,Working,Summer,Friend,Rainy,Partner,Angry,Disgusted,Neutral,Healthy,Given,First,792,7,9,2009,10,19,21,20,1697,469,30000000,1
42,95,28,Male,20,UK,Evening,Working,Autumn,Friend,Rainy,Partner,Sad,Surprised,Positive,Healthy,Given,First,106,37,9,2009,10,13,21,1863,1091,190,90000000,4
42,96,28,Male,20,UK,Evening,Working,Autumn,Friend,Rainy,Partner,Happy,Happy,Neutral,Healthy,Decision,First,658,7,9,2009,7,14,15,1240,762,60,-1,3
42,65,28,Male,20,UK,Evening,Working,Autumn,Friend,Rainy,Partner,Happy,Happy,Positive,Healthy,Given,First,556,37,9,2010,7,-1,-1,979,1658,542,40000000,5
42,128,28,Male,20,UK,Evening,Weekend,Autumn,Friend,Cloudy,Partner,Happy,Happy,Negative,Healthy,Decision,First,806,15,4,2009,1,6,10,507,1753,1231,11700000,5
42,99,28,Male,20,UK,Evening,Working,Autumn,Friend,Cloudy,Alone,Neutral,Neutral,Positive,Healthy,Decision,First,396,37,9,2010,1,3,19,1622,699,497,190000000,2
42,133,28,Male,20,UK,Night,Working,Autumn,Friend,Rainy,Partner,Neutral,Surprised,Neutral,Healthy,Decision,First,646,36,9,1990,14,19,-1,519,1768,762,1500000,3
42,141,28,Male,20,UK,Night,Weekend,Autumn,Friend,Cloudy,Partner,Happy,Surprised,Neutral,Healthy,Decision,First,287,37,9,2009,4,3,12,414,1826,897,60000000,5
42,38,28,Male,20,UK,Evening,Weekend,Autumn,Friend,Cloudy,Partner,Surprised,Surprised,Neutral,Healthy,Decision,First,65,36,9,2010,9,7,-1,1833,154,1738,-1,5
42,146,28,Male,20,UK,Evening,Weekend,Autumn,Friend,Cloudy,Partner,Happy,Happy,Positive,Healthy,Decision,First,348,37,9,2010,1,10,23,998,960,1319,47000000,4
42,180,28,Male,20,UK,Evening,Weekend,Autumn,Friend,Rainy,Partner,Sad,Happy,Positive,Healthy,Decision,First,762,37,9,2009,7,8,10,531,1602,1800,9000000,5
42,181,28,Male,20,UK,Evening,Working,Autumn,Friend,Cloudy,Partner,Happy,Happy,Positive,Healthy,Decision,Nth,442,9,5,1970,7,10,16,621,1397,1589,-1,5
42,182,28,Male,20,UK,Evening,Working,Autumn,Friend,Cloudy,Partner,Happy,Happy,Neutral,Healthy,Given,Nth,71,37,9,2001,7,-1,-1,172,1483,1953,28000000,4
42,165,28,Male,20,UK,Evening,Working,Autumn,Friend,Cloudy,Partner,Happy,Happy,Neutral,Healthy,Given,First,393,8,17,2008,1,3,10,1884,1808,1988,80000000,5
