userID,itemID,age,sex,city,country,time,daytype,season,location,weather,social,endEmo,dominantEmo,mood,physical,decision,interaction,director,movieCountry,movieLanguage,movieYear,genre1,genre2,genre3,actor1,actor2,actor3,budget
54,3725,27,1,20,2,3,3,4,1,5,2,2,2,1,1,1,1,419,37,9,2005,7,18,-1,1782,295,1510,26000000
91,3726,28,2,20,2,4,2,4,1,5,1,1,7,2,2,1,1,159,37,9,2010,10,21,-1,1416,1924,1380,13000000
91,3727,28,2,20,2,4,2,4,1,5,1,7,7,1,1,1,1,247,13,9,2009,10,21,-1,1422,1515,412,15000000
91,51,28,2,20,2,4,2,4,1,5,1,7,7,1,2,1,1,313,37,9,2005,1,19,21,749,1416,1778,54000000
55,3728,28,2,20,2,2,2,4,1,5,1,2,4,2,1,1,2,181,36,9,2007,3,11,12,426,1657,568,150000000
20,3729,30,1,10,3,3,1,4,1,5,1,2,1,2,1,1,2,145,37,9,2002,10,15,-1,562,876,1547,40000000
61,3695,28,1,20,2,3,3,4,1,5,2,7,7,1,1,1,1,439,37,9,2010,1,7,8,251,1889,1006,37000000
48,3730,28,1,20,2,4,1,4,1,1,5,1,1,2,1,2,1,476,7,9,2006,10,18,-1,27,1746,285,-1
50,3731,26,2,21,2,2,2,4,1,1,2,2,2,1,2,1,1,556,37,9,2008,7,10,18,857,1120,1380,30000000
54,3731,27,1,20,2,2,2,4,1,1,2,2,2,1,1,1,1,556,37,9,2008,7,10,18,857,1120,1380,30000000
60,166,-1,2,3,5,2,2,4,1,5,1,2,2,1,1,1,1,126,37,9,2010,4,3,7,862,667,366,165000000
35,3732,30,1,10,3,3,2,4,1,5,7,1,2,2,1,2,2,606,37,9,2005,3,10,18,1413,790,20,207000000
24,3733,26,1,10,3,3,2,4,1,5,1,4,4,1,1,1,1,716,37,9,2010,10,-1,-1,1774,546,1372,8000000
24,3734,26,1,10,3,4,2,4,1,5,1,2,2,1,1,1,1,744,2,9,2010,1,3,10,259,1558,1187,27000000
35,3735,30,1,10,3,4,2,4,1,5,1,2,2,2,1,1,1,774,37,9,2010,4,1,7,1953,1858,979,130000000
31,3579,30,2,20,2,3,2,4,1,1,1,2,4,1,2,1,1,667,37,9,2010,1,7,8,251,1404,960,58000000
112,3736,33,1,20,2,4,1,4,1,5,1,7,1,2,1,1,1,127,37,9,2010,8,10,14,1327,964,327,15000000
33,47,26,2,10,3,4,2,4,1,1,2,3,4,1,1,1,1,135,37,9,2010,1,17,19,1169,1088,997,160000000
21,47,28,1,10,3,4,1,4,1,5,2,4,3,1,1,1,1,135,37,9,2010,1,17,19,1169,1088,997,160000000
55,74,28,2,20,2,3,2,4,1,5,2,7,6,2,1,1,2,650,36,9,2005,1,3,13,1478,587,902,147000000
55,3737,28,2,20,2,2,2,4,-1,5,1,7,6,2,1,1,1,650,37,9,2000,1,3,10,1659,936,396,103000000
42,66,28,1,20,2,4,1,4,3,5,1,2,2,2,1,1,1,666,37,9,2010,1,3,8,437,1795,1374,20000000
55,3738,28,2,20,2,2,1,4,1,2,2,7,5,2,2,1,1,513,14,9,2009,6,10,18,727,368,823,17000000
42,3740,28,1,20,2,3,1,4,3,5,1,1,1,2,1,1,1,365,37,9,2010,10,21,-1,1620,531,1382,22000000
61,3739,28,1,20,2,3,1,4,1,2,2,7,2,1,1,2,2,9,37,9,2004,7,18,-1,1953,355,1510,26000000
