userID,itemID,age,sex,city,country,time,daytype,season,location,weather,social,endEmo,dominantEmo,mood,physical,decision,interaction,director,movieCountry,movieLanguage,movieYear,genre1,genre2,genre3,actor1,actor2,actor3,budget,rating
28,19,26,Female,10,Denmark,Afternoon,Working,Summer,Friend,Sunny,Partner,Neutral,Neutral,Neutral,Healthy,Given,First,670,20,14,2005,7,10,18,1635,869,1440,35000000,2
28,33,26,Female,10,Denmark,Afternoon,Weekend,Summer,Friend,Rainy,Partner,Neutral,Neutral,Neutral,Healthy,Decision,First,400,37,9,2006,3,7,10,691,1878,9,8000000,2
28,35,26,Female,10,Denmark,Evening,Weekend,Summer,Home,Sunny,Partner,Neutral,Happy,Neutral,Healthy,Given,First,714,32,26,1980,7,-1,-1,1513,511,161,-1,4
28,69,26,Female,10,Denmark,Evening,Weekend,Autumn,Friend,Cloudy,Partner,Neutral,Neutral,Neutral,Healthy,Decision,First,280,37,9,2008,6,10,-1,1715,553,998,20000000,3
28,111,26,Female,10,Denmark,Evening,Working,Autumn,Public,Cloudy,Partner,Neutral,Happy,Neutral,Healthy,Decision,First,780,18,9,2009,4,3,12,231,591,348,6500000,3
28,166,26,Female,10,Denmark,Afternoon,Working,Autumn,Friend,Cloudy,Partner,Happy,Scared,Positive,Healthy,Decision,First,126,37,9,2010,4,3,7,862,667,366,165000000,3
28,143,26,Female,10,Denmark,Evening,Weekend,Autumn,Friend,Cloudy,Partner,Happy,Happy,Positive,Healthy,Decision,First,551,4,3,2006,7,-1,-1,142,38,708,-1,3
28,170,26,Female,10,Denmark,Evening,Working,Autumn,Friend,Cloudy,Partner,Happy,Happy,Positive,Healthy,Decision,First,51,37,9,2009,7,10,18,1688,1667,1288,40000000,2
28,224,26,Female,10,Denmark,Evening,Working,Autumn,Home,Sunny,Partner,Neutral,Neutral,Positive,Healthy,Decision,First,740,31,25,2008,6,10,13,175,626,289,58000000,3
28,238,26,Female,10,Denmark,Evening,Weekend,Autumn,Friend,Cloudy,Partner,Neutral,Neutral,Neutral,Healthy,Decision,First,284,6,22,2003,10,8,-1,1221,1386,782,-1,1
28,3524,26,Female,10,Denmark,Evening,Working,Summer,Public,Sunny,Partner,Neutral,Surprised,Positive,Healthy,Decision,First,510,3,9,1999,9,-1,-1,-1,-1,-1,-1,3
28,3558,26,Female,10,Denmark,Afternoon,Working,Summer,Public,Rainy,Parents,Neutral,Neutral,Positive,Healthy,Decision,First,700,35,28,2010,10,-1,-1,219,572,1895,2000000,4
28,3561,26,Female,10,Denmark,Evening,Working,Autumn,Public,Cloudy,Parents,Happy,Happy,Positive,Healthy,Decision,First,55,31,25,2010,10,-1,-1,1200,1484,772,-1,5
28,3566,26,Female,10,Denmark,Evening,Working,Autumn,Public,Cloudy,Parents,Disgusted,Angry,Positive,Healthy,Decision,First,693,19,12,2009,10,22,-1,1481,780,138,-1,4
28,38,26,Female,10,Denmark,Evening,Working,Autumn,Home,Cloudy,Alone,Surprised,Happy,Positive,Healthy,Decision,First,65,36,9,2010,9,7,-1,1833,154,1738,-1,4
28,3615,26,Female,10,Denmark,Evening,Weekend,Autumn,Home,Cloudy,Alone,Happy,Happy,Neutral,Healthy,Decision,First,807,14,9,1999,9,15,-1,-1,-1,-1,-1,4
28,3613,26,Female,10,Denmark,Evening,Weekend,Autumn,Friend,Snowy,Partner,Happy,Happy,Positive,Healthy,Decision,Nth,216,14,11,2009,7,-1,-1,12,199,1405,5000000,4
28,3616,26,Female,10,Denmark,Evening,Working,Autumn,Home,Cloudy,Alone,Happy,Happy,Neutral,Healthy,Decision,First,682,37,9,2009,4,11,12,102,252,1078,105000000,2
28,47,26,Female,10,Denmark,Evening,Weekend,Autumn,Friend,Cloudy,Partner,Neutral,Neutral,Neutral,Healthy,Decision,First,135,37,9,2010,1,17,19,1169,1088,997,160000000,3
28,201,26,Female,10,Denmark,Evening,Weekend,Winter,Friend,Cloudy,Partner,Neutral,Surprised,Positive,Healthy,Given,First,184,37,9,2010,10,17,21,895,953,1150,2000000,3
